120,Магнитотерапия/фотостимуляция Амблио,15 мин,1500,,,,
121,"Ударно-волновая терапия 1 анатомическая зона (лопаточная область, 1 сустав, 1 отдел позвоночника и др.) 2000-3000 импульсов",30 мин,4000,,,,
122,Ударно-волновая терапия 2 анатомические зоны и более 4000-9000 импульсов,60 мин,6000,,,,
123,НЛОК (надвенное лазерное облучение крови),20 мин,1500,,,,
124,Гелиосплазма – 1 зона,20 мин,1500,,,,
125,"Гелиосплазма - омоложение кожи, терапия акне, экземы, дерматитов, онихомикозов",30 мин,5500,,,,
126,Электромиостимуляция на аппарате VIP LINE Transion 1 зона,45 мин,3000,,,,
127,Электромиостимуляция на аппарате VIP LINE Transion 2 зоны,до 60 мин,5500,,,,
128,Электромиостимуляция на аппарате VIP LINE Transion 3 зоны ,70 мин,8000,,,,
129,"Микротоки на аппарате VIP LINE Microgei (лицо, шея, декольте)",40 мин,5000,,,,
130,Изометрическая миостимуляция на аппарате VIP LINE Isogei (лицо и шея),60 мин,5000,,,,
131,Электрофорез лекарственный (эндоназальный/эндауральный/общий) ,30 - 40 мин,2 000                       *без учета стоимости препарата,,,,
132,Ультрафонофорез лекарственный 1-2 зоны,15 - 30 мин,2 000                       *без учета стоимости препарата,,,,
133,Ультрафонофорез лекарственный 3-4 зоны,45 - 60 мин,2500                        *без учета стоимости препарата,,,,
134,Кислородные коктейли,,,,,,
135, ,,,,,,
136, ,,,,,,
137, ,,,,,,
138, ,,,,,,
139, ,,,,,,
140, ,,,,,,
141,,,,,,,
142,,,,,,,
143,"Главный врач, соавтор проекта «Хабилект»
/Костромина И.В./",,,,На ряд процедур цены указаны ОТ…,,
144,2026-05-12 00:00:00,,,,,,
145,,,,,,,
146,,,,,,,
147,,,,,,,
148,,,,,,,
149,,,,,,,
150,,,,,,,
151,,,,,,,
152,,,,,,,
153,,,,,,,
154,,,,,,,
155,,,,,,,
156,,, ,,,,
